categoryID,madeForKids,Label,rate,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52,tag_53,tag_54,tag_55,tag_56,tag_57,tag_58,tag_59,tag_60,tag_61,tag_62,tag_63,tag_64,tag_65,tag_66,tag_67,tag_68,tag_69,tag_70,tag_71,tag_72,tag_73,tag_74,tag_75,tag_76,tag_77
-0.003039912698268095,-0.5610630946218749,2,0.9185322001131091,Garena,garena liên quân,liên quân mobile,liên quân,lien minh mobile,liên minh huyền thoại mobile,arena of valor,AOV,AOV VN,8/12 liên quân,8/12 lien quan,sinh nhật liên quân,sinh nhat lien quan,sự kiện liên quân,su kien lien quan,free skin lien quan,trương hoàng mai anh,truong hoang mai anh,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-1.2164239340541525,-0.5610630946218749,2,0.9322550091864715,Lil Wuyn,Young H,Holy Shiett,LYRICS,RAP,VIET,SMO,Holy Shiett- 95G (LilWuyn x SMO) ft FSR (Young H),notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
0.23963689157290877,-0.5610630946218749,2,-0.6312777355362581,án mạng,cuồng ghen,sát hại người tình,người yêu,vi phạm pháp luật,tệ nạn xã hội,án mạng bí ẩn,án mạng liên hoàn,antv,antv thcand,kenh an ninh,truyen hinh cong an,an ninh tv,truyền hình công an nhân dân,truyền hình công an,truyen hinh cong an nhan dan,tin tức,tin mới nhất,tin nhanh,tin 24h,tin tuc,cảnh sát nhân dân,canh sat nhan dan,csnd,kênh cảnh sát nhân dân,kenh canh sat nhan dan,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-2.3084695532744486,-0.5610630946218749,0,0.006500413803586085,truyện cổ tích,cổ tích,truyện cổ tích việt nam,chuyện cổ tích,phim cổ tích,cổ tích việt nam,chuyện cổ tích hay nhất,cổ tích cho bé,nghe chuyện cổ tích,phim hoạt hình,khoảnh khắc kỳ diệu,xem hoạt hình,hoạt hình vui,co tich,chuyen co tich,truyen co tich,truyen co tich viet nam,phim hoat hinh,co tich noi tieng the gioi,co tich viet nam,truyen co tich hay nhat,co tich hay,hoathinh,không xứng làm quan,quan trạng,quan tham,tham lam ích kỷ,quan,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-2.3084695532744486,-0.5610630946218749,0,-0.1896173059158357,quà tặng cuộc sống,truyện cổ tích,cổ tích,cổ tích việt nam,cổ tích cho bé,phim hoạt hình,khoảnh khắc kỳ diệu,xem phim hoạt hình,truyen co tich,phim hoat hinh,phim hoạt hình hay nhất,chuyện cổ tích,chuyen co tich,nghệ thuật sống,chó bắt rắn độc,chó bắt rắn,chó,rắn độc,con rắn độc,phim hoạt hình chó bắt rắn độc,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
0.846328902250851,1.7823307388876537,0,-1.4214365540338885,vtv7kids,giaoduc,treem,thieunhi,tieuhoc,mamnon,xam hai tinh duc,xam hai tinh duc tre em,lam dung tre em,giao duc gioi tinh,bao ve tre em,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-1.2164239340541525,-0.5610630946218749,1,0.8809934328275849,Maroon 5,Summer Tour,Train,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-2.3084695532744486,1.7823307388876537,0,-0.08295179542588202,quà tặng cuộc sống,quà tặng cuộc sống mới nhất,quà tặng cuộc sống tổng hợp,phim quà tặng cuộc sống,qtcs,qtcs 2020,hoat hinh,phim hoạt hình,hoạt hình hay,sự tích,truyện cổ tích,chuyện cổ tích,kkkd,phim ngắn,tổng hợp phim,bài học cuộc sống,câu chuyện ý nghĩa,giây phút diệu kỳ,câu chuyện cuộc sống,khoảnh khắc kỳ diệu,đua xe xong nằm viện,đua xe,nằm viện,đua,xe,nằm,viện,phim hoạt hình đua xe xong nằm viện,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-2.3084695532744486,-0.5610630946218749,0,0.14064793156706706,quà tặng cuộc sống,quà tặng cuộc sống mới nhất,quà tặng cuộc sống tổng hợp,phim quà tặng cuộc sống,qtcs,qtcs 2020,hoat hinh,phim hoạt hình,hoạt hình hay,sự tích,truyện cổ tích,chuyện cổ tích,kkkd,phim ngắn,tổng hợp phim,bài học cuộc sống,câu chuyện ý nghĩa,giây phút diệu kỳ,câu chuyện cuộc sống,khoảnh khắc kỳ diệu,mẹ vợ khó tính,mẹ vợ,khó tính,mẹ,vợ,khó,tính,con rể mẹ vợ,phim hoạt hình mẹ vợ khó tính,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
-2.3084695532744486,1.7823307388876537,0,0.2431134178819421,quà tặng cuộc sống,quà tặng cuộc sống mới nhất,quà tặng cuộc sống tổng hợp,phim quà tặng cuộc sống,qtcs,qtcs 2020,hoat hinh,phim hoạt hình,hoạt hình hay,sự tích,truyện cổ tích,chuyện cổ tích,kkkd,phim ngắn,tổng hợp phim,bài học cuộc sống,câu chuyện ý nghĩa,giây phút diệu kỳ,câu chuyện cuộc sống,khoảnh khắc kỳ diệu,món quà xấu xí,món quà,xấu xí,xấu,quà,xí,món,phim hoạt hình món quà xấu xí,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags,notags
